iter	MultiClass
0	1.518586494
1	1.332564487
2	1.195835754
3	1.085755066
4	0.9969859391
5	0.9220554785
6	0.8600845049
7	0.8054449588
8	0.7564929431
9	0.7127719949
10	0.677495417
11	0.6446120493
12	0.6156203908
13	0.5926991553
14	0.5677959252
15	0.5447983714
16	0.522817655
17	0.5040723962
18	0.4880994323
19	0.4728058032
20	0.4606245126
21	0.4492762277
22	0.4381017266
23	0.4271401728
24	0.4185543663
25	0.4093951755
26	0.4020636365
27	0.3923553106
28	0.3820014462
29	0.3746857844
30	0.3711569491
31	0.3649241657
32	0.3610506641
33	0.3553440635
34	0.3512856054
35	0.3461669415
36	0.342136786
37	0.3381900571
38	0.3357015254
39	0.332536414
40	0.3285373717
41	0.3255578911
42	0.3217029436
43	0.3191360415
44	0.3161663387
45	0.3140642429
46	0.3088183727
47	0.3056446693
48	0.3041135092
49	0.3020874976
50	0.2998018194
51	0.2983317999
52	0.2967823635
53	0.2948048903
54	0.2934794582
55	0.2913021014
56	0.288397663
57	0.286706024
58	0.284637822
59	0.2820441051
60	0.279958396
61	0.2777083176
62	0.2759088434
63	0.2746262409
64	0.2741560456
65	0.2728125725
66	0.2717565602
67	0.269415985
68	0.2675934362
69	0.2660880605
70	0.2631715603
71	0.2612142008
72	0.2603618726
73	0.258391925
74	0.257337714
75	0.255746246
76	0.2550023388
77	0.2535853951
78	0.2526515655
79	0.2509534082
80	0.2505242935
81	0.2493016567
82	0.248300983
83	0.2477046463
84	0.2471369873
85	0.245105983
86	0.2447629722
87	0.2433930637
88	0.2425527776
89	0.2422239984
90	0.2418631448
91	0.2416687295
92	0.2404060437
93	0.2397017157
94	0.23870044
95	0.237963171
96	0.2368219754
97	0.2360985535
98	0.2356439374
99	0.234431275
100	0.2328444115
101	0.232733517
102	0.2321513941
103	0.2317485217
104	0.2309155164
105	0.2307149544
106	0.2297490892
107	0.2289705481
108	0.228129324
109	0.2273204738
110	0.2256828181
111	0.2249451571
112	0.2238829086
113	0.2233797875
114	0.2229964944
115	0.2222801464
116	0.2219252922
117	0.2211351374
118	0.220647896
119	0.2197652501
120	0.2187844598
121	0.2175204739
122	0.2167400315
123	0.2160758574
124	0.2151144848
125	0.2148611908
126	0.2148191037
127	0.2146234141
128	0.2134653824
129	0.2130772185
130	0.2125373558
131	0.2117812167
132	0.2112645347
133	0.2102862489
134	0.2095756018
135	0.2087904162
136	0.2079175151
137	0.207659472
138	0.2068845406
139	0.2063434759
140	0.2058792005
141	0.2054450574
142	0.2046328899
143	0.2038499406
144	0.2032188375
145	0.202838555
146	0.2021879317
147	0.2017927715
