iter	Passed	Remaining
0	14	14165
1	27	13604
2	33	11245
3	45	11297
4	52	10365
5	60	10094
6	66	9470
7	73	9119
8	79	8797
9	85	8505
10	92	8302
11	98	8120
12	105	7991
13	111	7844
14	117	7737
15	124	7651
16	130	7548
17	136	7449
18	143	7385
19	149	7305
20	154	7225
21	160	7155
22	166	7093
23	172	7030
24	178	6968
25	185	6941
26	191	6899
27	198	6902
28	206	6917
29	214	6946
30	224	7003
31	234	7082
32	242	7112
33	249	7081
34	255	7043
35	261	7011
36	268	6984
37	274	6957
38	281	6931
39	287	6893
40	293	6866
41	299	6836
42	306	6828
43	312	6796
44	319	6773
45	324	6737
46	331	6713
47	336	6679
48	342	6656
49	349	6639
50	355	6613
51	361	6590
52	367	6570
53	373	6540
54	379	6516
55	385	6494
56	391	6477
57	399	6481
58	408	6509
59	419	6573
60	426	6566
61	437	6612
62	449	6679
63	455	6656
64	461	6631
65	467	6613
66	473	6599
67	480	6580
68	486	6561
69	492	6543
70	498	6521
71	504	6505
72	510	6486
73	516	6468
74	522	6448
75	529	6432
76	535	6414
77	541	6402
78	551	6424
79	557	6408
80	563	6391
81	569	6373
82	575	6356
83	581	6335
84	586	6318
85	593	6304
86	604	6341
87	616	6386
88	624	6388
89	632	6391
90	638	6373
91	644	6361
92	650	6343
93	656	6330
94	663	6318
95	669	6304
96	675	6290
97	682	6278
98	688	6261
99	693	6245
100	700	6230
101	705	6212
102	711	6197
103	717	6184
104	724	6172
105	730	6157
106	736	6144
107	742	6131
108	748	6115
109	754	6101
110	760	6090
111	766	6076
112	772	6064
113	778	6053
114	786	6054
115	796	6067
116	807	6097
117	821	6136
118	834	6178
119	870	6385
120	878	6378
121	885	6372
122	896	6395
123	914	6460
124	929	6505
125	937	6499
126	946	6504
127	953	6496
128	966	6526
129	975	6526
130	982	6517
131	989	6504
132	997	6502
133	1007	6509
134	1016	6512
135	1027	6528
136	1037	6533
137	1044	6524
138	1050	6509
139	1057	6493
140	1063	6476
141	1069	6459
142	1075	6442
143	1081	6428
144	1091	6438
145	1099	6433
146	1108	6430
147	1115	6420
148	1121	6407
149	1128	6395
150	1135	6382
151	1142	6371
152	1150	6366
153	1156	6355
154	1164	6347
155	1172	6343
156	1185	6364
157	1192	6356
158	1204	6372
159	1224	6428
160	1240	6463
161	1258	6510
162	1267	6506
163	1277	6513
164	1290	6528
165	1298	6523
166	1306	6519
167	1316	6519
168	1325	6518
169	1333	6509
170	1344	6517
171	1356	6527
172	1364	6523
173	1374	6527
174	1386	6536
175	1400	6555
176	1416	6584
177	1425	6583
178	1435	6584
179	1447	6596
180	1455	6587
181	1467	6597
182	1478	6598
183	1488	6602
184	1508	6646
185	1535	6718
186	1564	6801
187	1588	6858
188	1615	6930
189	1633	6962
190	1654	7007
191	1674	7046
192	1704	7125
193	1721	7150
194	1753	7239
195	1779	7297
196	1814	7396
197	1826	7399
198	1833	7381
199	1842	7370
200	1853	7366
201	1862	7359
202	1872	7349
203	1890	7375
204	1903	7381
205	1913	7375
206	1923	7367
207	1933	7362
208	1942	7351
209	1950	7338
210	1958	7321
211	1972	7331
212	1982	7323
213	1990	7310
214	1996	7290
215	2002	7270
216	2009	7250
217	2015	7231
218	2022	7213
219	2030	7198
220	2041	7196
221	2049	7183
222	2057	7170
223	2064	7152
224	2071	7135
225	2078	7117
226	2084	7099
227	2091	7082
228	2098	7065
229	2104	7046
230	2111	7030
231	2120	7021
232	2131	7015
233	2138	7000
234	2145	6982
235	2151	6964
236	2158	6947
237	2164	6930
238	2170	6912
239	2178	6897
240	2183	6877
241	2189	6858
242	2195	6839
243	2201	6822
244	2207	6803
245	2213	6784
246	2219	6765
247	2225	6748
248	2232	6734
249	2245	6736
250	2252	6720
251	2259	6705
252	2265	6687
253	2272	6675
254	2279	6659
255	2287	6647
256	2293	6630
257	2299	6613
258	2305	6596
259	2311	6579
260	2317	6562
261	2323	6545
262	2329	6528
263	2335	6511
264	2342	6495
265	2348	6479
266	2354	6463
267	2360	6447
268	2366	6430
269	2372	6414
270	2378	6399
271	2384	6382
272	2390	6365
273	2398	6356
274	2409	6351
275	2415	6335
276	2421	6319
277	2427	6303
278	2436	6296
279	2443	6282
280	2454	6280
281	2462	6270
282	2469	6256
283	2475	6242
284	2482	6227
285	2488	6212
286	2494	6197
287	2501	6183
288	2509	6173
289	2515	6158
290	2521	6144
291	2528	6130
292	2534	6116
293	2540	6101
294	2549	6092
295	2555	6078
296	2562	6064
297	2568	6050
298	2574	6035
299	2580	6020
300	2585	6005
301	2592	5990
302	2598	5977
303	2604	5962
304	2610	5948
305	2616	5934
306	2622	5920
307	2628	5906
308	2635	5893
309	2641	5880
310	2648	5867
311	2656	5858
312	2669	5858
313	2675	5845
314	2682	5833
315	2689	5820
316	2695	5808
317	2702	5796
318	2709	5784
319	2716	5771
320	2722	5758
321	2728	5745
322	2735	5733
323	2741	5720
324	2750	5711
325	2756	5698
326	2764	5689
327	2771	5678
328	2779	5668
329	2784	5654
330	2790	5640
331	2797	5628
332	2803	5615
333	2810	5603
334	2816	5591
335	2822	5578
336	2828	5565
337	2835	5553
338	2844	5545
339	2853	5539
340	2863	5533
341	2870	5523
342	2878	5512
343	2886	5503
344	2895	5496
345	2901	5484
346	2907	5471
347	2914	5460
348	2920	5448
349	2927	5436
350	2934	5425
351	2940	5413
352	2946	5401
353	2953	5389
354	2960	5379
355	2967	5367
356	2973	5355
357	2979	5343
358	2985	5331
359	2993	5322
360	3000	5311
361	3006	5298
362	3012	5287
363	3020	5278
364	3027	5266
365	3034	5256
366	3045	5252
367	3052	5242
368	3064	5239
369	3070	5227
370	3080	5223
371	3088	5213
372	3097	5207
373	3103	5195
374	3110	5184
375	3116	5172
376	3123	5161
377	3129	5149
378	3135	5138
379	3143	5128
380	3149	5116
381	3156	5106
382	3162	5093
383	3168	5082
384	3175	5073
385	3181	5061
386	3189	5051
387	3194	5039
388	3201	5028
389	3207	5017
390	3213	5005
391	3220	4995
392	3227	4984
393	3234	4974
394	3242	4965
395	3250	4958
396	3260	4951
397	3273	4951
398	3286	4950
399	3295	4942
400	3302	4933
401	3309	4922
402	3315	4911
403	3321	4900
404	3328	4890
405	3336	4881
406	3342	4870
407	3349	4859
408	3355	4848
409	3362	4838
410	3368	4827
411	3377	4820
412	3386	4812
413	3392	4801
414	3398	4790
415	3404	4779
416	3410	4768
417	3417	4758
418	3423	4746
419	3429	4735
420	3437	4727
421	3442	4715
422	3452	4709
423	3460	4700
424	3470	4695
425	3477	4685
426	3487	4680
427	3494	4669
428	3501	4659
429	3507	4649
430	3516	4641
431	3522	4631
432	3528	4620
433	3534	4609
434	3541	4599
435	3547	4588
436	3553	4577
437	3559	4567
438	3566	4557
439	3572	4546
440	3578	4536
441	3585	4525
442	3591	4515
443	3597	4505
444	3604	4495
445	3611	4485
446	3617	4475
447	3624	4465
448	3630	4455
449	3639	4447
450	3645	4437
451	3653	4429
452	3664	4424
453	3670	4414
454	3677	4404
455	3683	4394
456	3689	4384
457	3696	4374
458	3702	4364
459	3709	4354
460	3715	4343
461	3722	4334
462	3728	4324
463	3734	4313
464	3741	4304
465	3747	4294
466	3755	4285
467	3761	4275
468	3768	4266
469	3775	4257
470	3781	4246
471	3787	4236
472	3793	4226
473	3799	4215
474	3805	4206
475	3811	4196
476	3818	4186
477	3824	4176
478	3830	4166
479	3838	4158
480	3844	4148
481	3850	4137
482	3861	4133
483	3873	4129
484	3882	4122
485	3890	4114
486	3897	4105
487	3904	4096
488	3910	4086
489	3916	4076
490	3922	4066
491	3928	4055
492	3934	4046
493	3941	4037
494	3947	4027
495	3954	4018
496	3960	4008
497	3969	4001
498	3983	3999
499	3994	3994
500	4006	3990
501	4012	3980
502	4019	3971
503	4025	3961
504	4030	3951
505	4037	3942
506	4043	3932
507	4050	3922
508	4057	3914
509	4069	3910
510	4076	3901
511	4083	3892
512	4090	3883
513	4097	3873
514	4104	3865
515	4110	3856
516	4117	3847
517	4123	3837
518	4129	3827
519	4136	3818
520	4142	3808
521	4148	3799
522	4155	3789
523	4161	3780
524	4167	3770
525	4174	3761
526	4180	3752
527	4186	3742
528	4192	3733
529	4199	3724
530	4205	3714
531	4211	3705
532	4219	3696
533	4225	3687
534	4232	3678
535	4240	3670
536	4250	3665
537	4258	3657
538	4268	3650
539	4274	3641
540	4281	3632
541	4288	3623
542	4295	3614
543	4301	3605
544	4308	3596
545	4315	3588
546	4321	3578
547	4327	3569
548	4333	3560
549	4340	3551
550	4346	3542
551	4354	3533
552	4363	3527
553	4370	3518
554	4376	3508
555	4382	3500
556	4389	3490
557	4396	3482
558	4402	3473
559	4409	3464
560	4416	3456
561	4423	3447
562	4429	3438
563	4436	3429
564	4443	3421
565	4453	3414
566	4463	3408
567	4473	3402
568	4481	3394
569	4488	3385
570	4495	3377
571	4502	3368
572	4509	3360
573	4515	3351
574	4521	3342
575	4528	3333
576	4534	3324
577	4541	3315
578	4547	3306
579	4554	3297
580	4560	3289
581	4566	3279
582	4572	3270
583	4579	3261
584	4585	3253
585	4592	3244
586	4598	3235
587	4605	3226
588	4611	3217
589	4617	3208
590	4624	3200
591	4630	3191
592	4637	3183
593	4645	3175
594	4652	3166
595	4662	3160
596	4674	3155
597	4681	3147
598	4688	3138
599	4694	3129
600	4702	3122
601	4710	3113
602	4716	3105
603	4723	3096
604	4729	3088
605	4737	3080
606	4743	3070
607	4749	3062
608	4756	3053
609	4762	3044
610	4769	3036
611	4776	3028
612	4781	3018
613	4788	3010
614	4794	3001
615	4801	2992
616	4807	2984
617	4813	2975
618	4819	2966
619	4825	2957
620	4832	2949
621	4839	2941
622	4848	2934
623	4857	2926
624	4869	2921
625	4876	2913
626	4883	2905
627	4890	2897
628	4898	2889
629	4904	2880
630	4911	2872
631	4918	2863
632	4924	2855
633	4931	2846
634	4937	2838
635	4944	2830
636	4952	2822
637	4959	2813
638	4966	2805
639	4974	2798
640	4985	2791
641	4992	2783
642	4999	2775
643	5006	2767
644	5012	2758
645	5018	2749
646	5024	2741
647	5030	2732
648	5036	2723
649	5042	2715
650	5049	2707
651	5057	2699
652	5070	2694
653	5076	2685
654	5083	2677
655	5090	2669
656	5097	2661
657	5103	2652
658	5110	2644
659	5116	2635
660	5123	2627
661	5129	2619
662	5135	2610
663	5142	2602
664	5148	2593
665	5154	2584
666	5160	2576
667	5166	2567
668	5172	2559
669	5178	2550
670	5184	2541
671	5190	2533
672	5196	2524
673	5202	2516
674	5208	2507
675	5216	2500
676	5222	2491
677	5229	2483
678	5236	2475
679	5241	2466
680	5248	2458
681	5254	2450
682	5263	2443
683	5269	2434
684	5281	2428
685	5288	2420
686	5294	2412
687	5301	2403
688	5307	2395
689	5314	2387
690	5320	2379
691	5327	2371
692	5338	2365
693	5349	2358
694	5363	2353
695	5370	2345
696	5376	2337
697	5382	2328
698	5388	2320
699	5394	2311
700	5400	2303
701	5406	2295
702	5417	2288
703	5442	2288
704	5460	2284
705	5469	2277
706	5481	2271
707	5492	2265
708	5500	2257
709	5514	2252
710	5528	2247
711	5540	2241
712	5551	2234
713	5563	2228
714	5577	2223
715	5592	2218
716	5606	2213
717	5618	2206
718	5627	2199
719	5633	2190
720	5639	2182
721	5645	2173
722	5652	2165
723	5660	2157
724	5668	2150
725	5677	2142
726	5686	2135
727	5699	2129
728	5706	2121
729	5712	2112
730	5719	2104
731	5726	2096
732	5732	2088
733	5738	2079
734	5752	2073
735	5759	2065
736	5769	2058
737	5784	2053
738	5801	2048
739	5820	2045
740	5837	2040
741	5852	2035
742	5867	2029
743	5885	2025
744	5897	2018
745	5910	2012
746	5926	2007
747	5938	2000
748	5962	1998
749	5976	1992
750	5987	1985
751	5998	1978
752	6004	1969
753	6011	1961
754	6018	1952
755	6025	1944
756	6032	1936
757	6038	1927
758	6045	1919
759	6051	1911
760	6059	1902
761	6065	1894
762	6071	1886
763	6079	1877
764	6096	1872
765	6102	1864
766	6110	1856
767	6116	1847
768	6123	1839
769	6131	1831
770	6137	1822
771	6143	1814
772	6150	1806
773	6157	1797
774	6164	1789
775	6170	1781
776	6177	1772
777	6182	1764
778	6189	1755
779	6195	1747
780	6207	1740
781	6214	1732
782	6221	1724
783	6227	1715
784	6233	1707
785	6240	1699
786	6246	1690
787	6252	1682
788	6258	1673
